Opinion ID	State	Date
1085135	AK	2013-10-11
2751524	AK	2014-11-07
2658398	AK	2014-03-28
4023917	AK	2016-08-12
2831987	AK	2015-08-28
867616	AK	2013-05-03
2671355	AK	2014-04-25
2798021	AK	2015-05-01
2720218	AK	2014-08-08
4018211	AK	2016-07-22
2804429	AK	2015-05-29
1040333	AK	2013-09-06
4091704	AK	2016-10-21
2644497	AK	2013-11-29
2960871	AK	2015-09-18
4034479	AK	2016-09-16
2822140	AK	2015-07-24
2354010	AK	2012-03-09
867626	AK	2013-04-05
2643663	AK	2013-11-22
2764899	AK	2014-12-26
2798019	AK	2015-05-01
1040753	AK	2013-09-13
2829639	AK	2015-08-21
1086593	AK	2013-10-23
1087041	AK	2013-10-25
1034466	AK	2013-07-19
949759	AK	2013-06-28
3158062	AK	2015-11-25
854700	AK	2013-03-08
2853522	AK	2015-09-04
873586	AK	2013-05-31
3161942	AK	2015-12-11
2801150	AK	2015-05-15
2747348	AK	2014-10-31
3177086	AK	2016-02-12
2822138	AK	2015-07-24
2831985	AK	2015-08-28
856706	AK	2013-03-29
2827473	AK	2015-08-14
1043215	AK	2013-10-04
2657603	AK	2014-03-21
3188964	AK	2016-03-25
2653417	AK	2014-02-14
867627	AK	2013-03-29
3163997	AK	2015-12-18
854698	AK	2013-03-08
2653416	AK	2014-02-14
4028760	AK	2016-08-26
2760350	AK	2014-12-12
3177087	AK	2016-02-12
4102420	AK	2016-11-25
2755785	AL	2014-11-26
2735188	AL	2014-09-19
2743401	AL	2014-10-17
2724025	AL	2014-09-05
2722535	AL	2014-08-29
2738499	AL	2014-09-30
2763000	AL	2014-12-12
2732586	AL	2014-09-12
2737471	AL	2014-09-26
2763003	AL	2014-12-12
2718333	AL	2014-08-15
2737521	AL	2014-09-26
2745427	AL	2014-10-24
2758005	AL	2014-12-05
2732583	AL	2014-09-12
2758003	AL	2014-12-05
2735194	AL	2014-09-19
2743399	AL	2014-10-17
2737466	AL	2014-09-26
2737519	AL	2014-09-26
2737465	AL	2014-09-26
2722532	AL	2014-08-29
2718334	AL	2014-08-15
2722533	AL	2014-08-29
2763002	AL	2014-12-12
2745426	AL	2014-10-24
2738497	AL	2014-09-30
2755784	AL	2014-11-26
2716830	AL	2014-07-03
2738500	AL	2014-09-30
2762999	AL	2014-12-12
2763001	AL	2014-12-12
2737520	AL	2014-09-26
2716825	AL	2014-08-01
2735190	AL	2014-09-19
2716832	AL	2014-06-27
2716828	AL	2014-07-03
2735192	AL	2014-09-19
2737464	AL	2014-09-26
2743402	AL	2014-10-17
2738501	AL	2014-09-30
2732692	AL	2014-09-12
2751767	AL	2014-11-07
2758006	AL	2014-12-05
2722540	AL	2014-08-29
2737470	AL	2014-09-26
2722538	AL	2014-08-29
2732585	AL	2014-09-12
2745428	AL	2014-10-24
2722542	AL	2014-08-29
2751766	AL	2014-11-14
2737522	AL	2014-09-26
2751768	AL	2014-10-31
2743400	AL	2014-10-17
2737517	AL	2014-09-26
2751770	AL	2014-10-31
2722530	AL	2014-08-29
2735191	AL	2014-09-19
2735193	AL	2014-09-19
2737467	AL	2014-09-26
2738498	AL	2014-09-30
2735189	AL	2014-09-19
2758002	AL	2014-12-05
2737518	AL	2014-09-26
2738503	AL	2014-09-30
2722539	AL	2014-08-29
2732584	AL	2014-09-12
2737463	AL	2014-09-26
2737462	AL	2014-09-26
2722529	AL	2014-08-29
2716834	AL	2014-06-20
2738502	AL	2014-09-30
2754129	AL	2014-11-21
2758004	AL	2014-12-05
2737474	AL	2014-09-26
2722534	AL	2014-08-29
2737473	AL	2014-09-26
2763004	AL	2014-12-12
2718336	AL	2014-08-15
2722528	AL	2014-08-29
2737472	AL	2014-09-26
2722537	AL	2014-08-29
2737468	AL	2014-09-26
2716835	AL	2014-06-20
2716826	AL	2014-07-25
2751769	AL	2014-10-31
2755787	AL	2014-11-26
2722541	AL	2014-08-29
2716824	AL	2014-08-08
2722536	AL	2014-08-29
2755786	AL	2014-11-26
2716836	AL	2014-06-20
2745429	AL	2014-10-24
2716831	AL	2014-07-03
2716827	AL	2014-07-25
2737469	AL	2014-09-26
2716829	AL	2014-07-03
2722531	AL	2014-08-29
2716837	AL	2014-06-20
2754130	AL	2014-11-21
2718335	AL	2014-08-15
2716833	AL	2014-06-27
2737516	AL	2014-09-26
2757624	AR	2014-12-04
3150624	AR	2015-10-29
1039929	AR	2013-09-05
3156095	AR	2015-11-19
3169573	AR	2016-01-14
4080297	AR	2016-10-06
2732289	AR	2014-09-11
2672967	AR	2014-05-08
4099097	AR	2016-11-17
2785767	AR	2015-03-12
2648682	AR	2014-01-09
2674445	AR	2014-05-15
2674267	AR	2014-05-14
2787532	AR	2015-03-19
2993970	AR	2015-09-17
2686717	AR	2014-07-31
2655008	AR	2014-02-27
2643411	AR	2013-11-21
3008919	AR	2015-10-08
2652430	AR	2014-02-06
3203032	AR	2016-05-12
4110266	AR	2016-12-22
1040577	AR	2013-09-12
2804093	AR	2015-05-28
2804095	AR	2015-05-28
2799287	AR	2015-05-07
2753512	AR	2014-11-20
2674452	AR	2014-05-15
4036125	AR	2016-09-22
4097355	AR	2016-11-10
3208812	AR	2016-06-02
2620483	AR	2013-10-31
2746849	AR	2014-10-30
2643400	AR	2013-11-21
4089343	AR	2016-10-13
2809799	AR	2015-06-18
3161462	AR	2015-12-10
2774557	AR	2015-01-29
2772285	AR	2015-01-22
3159825	AR	2015-12-03
3153989	AR	2015-11-12
2679562	AR	2014-06-19
2782472	AR	2015-02-26
2675374	AR	2014-05-22
1085013	AR	2013-10-10
3159828	AR	2015-12-03
2715928	AR	2014-08-07
3216431	AR	2016-06-23
2819768	AR	2015-07-23
2745107	AR	2014-10-23
2680641	AR	2014-06-26
4033955	AR	2016-09-15
2732285	AR	2014-09-11
2734169	AR	2014-09-18
2772282	AR	2015-01-22
2674459	AR	2014-05-14
4089345	AR	2016-10-13
4080299	AR	2016-10-06
2642233	AR	2013-11-14
2794374	AR	2015-04-16
2809797	AR	2015-06-18
2748697	AR	2014-11-06
3150626	AR	2015-10-29
4017914	AR	2016-07-21
3194219	AR	2016-04-14
4033966	AR	2016-09-15
2787529	AR	2015-03-19
2792550	AR	2015-04-09
2746854	AR	2014-10-30
3190323	AR	2016-03-31
4093276	AR	2016-10-27
4091330	AR	2016-10-20
1039918	AR	2013-09-05
2675379	AR	2014-05-22
2750801	AR	2014-11-13
3198743	AR	2016-04-28
2993968	AR	2015-09-24
4080300	AR	2016-10-06
2802632	AR	2015-05-21
2671178	AR	2014-04-24
4107617	AR	2016-12-15
2653253	AR	2014-02-13
2759748	AR	2014-12-11
2748700	AR	2014-11-06
2620475	AR	2013-10-31
1043069	AR	2013-10-03
2672966	AR	2014-05-08
1039923	AR	2013-09-05
4089344	AR	2016-10-13
3159833	AR	2015-12-03
2674451	AR	2014-05-15
2655004	AR	2014-02-27
2800847	AR	2015-05-14
4103760	AR	2016-12-01
3194217	AR	2016-04-14
2672096	AR	2014-05-01
3159829	AR	2015-12-03
2753513	AR	2014-11-20
2812423	AR	2015-06-25
4107610	AR	2016-12-15
2723667	AR	2014-09-04
2787520	AR	2015-03-19
2802635	AR	2015-05-21
2663183	AR	2014-04-03
3186472	AR	2016-03-17
2741209	AR	2014-10-09
2641583	AR	2013-11-07
2679568	AR	2014-06-19
3198751	AR	2016-04-28
3194222	AR	2016-04-14
3182341	AR	2016-03-03
1085007	AR	2013-10-10
2723670	AR	2014-09-04
2657374	AR	2014-03-20
2657373	AR	2014-03-20
4033967	AR	2016-09-15
1042129	AR	2013-09-26
2819769	AR	2015-07-23
2649551	AR	2014-01-16
2669427	AR	2014-04-10
2642238	AR	2013-11-14
2784290	AR	2015-03-05
2642235	AR	2013-11-14
2656553	AR	2014-03-13
