HathiTrust ID	Author	Volume Title
mdp.39015005670925	Vinge, Joan D.	World's end
mdp.39015005690295	Heinlein, Robert A.	Rocket ship Galileo
mdp.39015005717510	Wilhelm, Kate	Somerset dreams and other fictions
mdp.39015005728657	Norton, Andre	Secret of the lost race
mdp.39015005749158	Norton, Andre	Galactic derelict
mdp.39015005751584	Norton, Andre	The defiant agents
mdp.39015005766350	Clarke, Arthur C.	Reach for tomorrow
mdp.39015005791242	Anderson, Poul	The night face and other stories
mdp.39015005869790	McIntyre, Vonda N.	Superluminal
mdp.39015005888105	Kingsbury, Donald	Courtship rite
mdp.39015005888113	Herbert, Frank	Destination, void
mdp.39015005888139	Heinlein, Robert A.	Expanded universe : the new worlds of Robert A. Heinlein.
mdp.39015005888147	Pohl, Frederik and Jack Williamson	The Starchild trilogy
mdp.39015005906303	Wolfe, Gene	The claw of the conciliator
mdp.39015006197324	Simak, Clifford D.	The fellowship of the talisman
mdp.39015006577798	Heinlein, Robert A.	Podkayne of Mars
mdp.39015006577806	Heinlein, Robert A.	The green hills of earth; Rhysling and the adventure of the entire solar system? With an appreciation by Mark Reinsberg
mdp.39015006577814	Niven, Larry and Jerry Pournelle	Oath of fealty
mdp.39015007010096	Harrison, Harry	The stainless steel rat wants you
mdp.39015007010104	Harrison, Harry	The Stainless Steel Rat for president
mdp.39015007015038	Cherryh, C. J.	Downbelow station
mdp.39015007020061	Herbert, Frank	The book of Frank Herbert
mdp.39015007043006	Heinlein, Robert A.	Beyond this horizon.
mdp.39015007043337	Dick, Philip K.	Flow my tears, the policeman said
mdp.39015007050514	Niven, Larry and Steven Barnes	Dream Park
mdp.39015007068235	Asimov, Isaac	Foundation's edge
mdp.39015008005442	Vance, Jack	The eyes of the overworld
mdp.39015008096565	Niven, Larry	The integral trees
mdp.39015008146550	Heinlein, Robert A.	The unpleasant profession of Jonathan Hoag
mdp.39015008175815	McCaffrey, Anne	Crystal singer
mdp.39015008195417	Keyes, Daniel	The touch.
mdp.39015008196746	Norton, Andre	The Sioux spaceman
mdp.39015008199450	Zelazny, Roger	Roadmarks
mdp.39015008199468	Anderson, Poul	Satan's world.
mdp.39015008261987	Batchelor, John Calvin	The birth of the People's Republic of Antarctica
mdp.39015008278221	Herbert, Frank	The Dosadi experiment
mdp.39015008288758	Herbert, Frank	The heaven makers
mdp.39015008313002	Frank, Pat	Alas, Babylon
mdp.39015008373220	Spinrad, Norman	The star-spangled future
mdp.39015008380167	Clarke, Arthur C.	The fountains of Paradise
mdp.39015008381033	Herbert, Frank	The worlds of Frank Herbert
mdp.39015008384243	Asimov, Isaac	Buy Jupiter, and other stories
mdp.39015008386701	Herbert, Frank	Direct descent
mdp.39015008398441	Amis, Kingsley	Russian hide-and-seek : a melodrama
mdp.39015008439583	Le Guin, Ursula K.	Planet of exile
mdp.39015008470554	Herbert, Frank	The Santaroga barrier
mdp.39015008513858	Farmer, Philip José	Flesh
mdp.39015008543418	Niven, Larry	A world out of time
mdp.39015008551809	Haldeman, Joe	Worlds apart
mdp.39015008554696	Farmer, Philip José	Night of light
mdp.39015008587365	Spinrad, Norman	The iron dream
mdp.39015008600119	Delany, Samuel R.	Stars in my pocket like grains of sand
mdp.39015008613708	Farmer, Philip José	The lovers
mdp.39015008630959	Ballard, J. G.	Low-flying aircraft, and other stories
mdp.39015008631205	Ballard, J. G.	Hello America
mdp.39015008633565	Dickson, Gordon R.	Soldier, ask not
mdp.39015008635644	Christopher, John	The twenty-second century.
mdp.39015008639448	Benford, Gregory and Gordon Eklund	If the stars are gods
mdp.39015008639851	Harrison, Harry	Tunnel through the deeps.
mdp.39015008670872	Bradley, Marion Zimmer	The shattered chain : a Darkover novel
mdp.39015008683057	Moorcock, Michael	The lives and times of Jerry Cornelius
mdp.39015008698782	Moorcock, Michael	The nomad of time
mdp.39015008704606	Moorcock, Michael	The adventures of Una Persson and Catherine Cornelius in the twentieth century : a romance
mdp.39015008713003	Moorcock, Michael	The blood red game
mdp.39015008778162	Silverberg, Robert	The gate of worlds
mdp.39015008801824	Moorcock, Michael	A cure for cancer
mdp.39015008801832	Moorcock, Michael	The final programme
mdp.39015008802236	Yarbro, Chelsea Quinn	Hyacinths
mdp.39015008805064	Moorcock, Michael	The Cornelius chronicles
mdp.39015008806088	Silverberg, Robert	Across a billion years
mdp.39015008806955	Benford, Gregory	Timescape
mdp.39015008817374	Heinlein, Robert A.	Stranger in a strange land
mdp.39015008828157	Vance, Jack	The dying earth
mdp.39015008838560	Herbert, Frank	The godmakers
mdp.39015008847017	Williamson, Jack	The queen of the legion
mdp.39015008862560	Van Vogt, A. E.	The voyage of the Space Beagle
mdp.39015008864640	Vance, Jack	The dragon masters
mdp.39015008864657	Van Vogt, A. E.	Mission to the stars
mdp.39015008864665	Van Vogt, A. E.	The war against the Rull
mdp.39015008892666	Heinlein, Robert A.	Orphans of the sky
mdp.39015008903448	Brin, David	Sundiver
mdp.39015008909361	Miller, Walter M., Jr.	The best of Walter M. Miller, Jr.
mdp.39015008915004	Asimov, Isaac	Earth is room enough : science fiction tales of our own planet
mdp.39015008918735	Herbert, Frank	The green brain
mdp.39015008918743	Herbert, Frank	The eyes of Heisenberg
mdp.39015008920335	Asimov, Isaac	Nightfall, and other stories.
mdp.39015008933569	Silverberg, Robert	Born with the dead : three novellas
mdp.39015008955943	Delany, Samuel R.	Driftglass
mdp.39015008970421	Brackett, Leigh	The halfling, and other stories
mdp.39015008978879	Zelazny, Roger	Lord of light.
mdp.39015008979778	Wolfe, Gene	The shadow of the torturer
mdp.39015008979794	Wilhelm, Kate	Listen, listen
mdp.39015008996293	Dickson, Gordon R.	The spirit of Dorsai
mdp.39015009018279	Moorcock, Michael	The city of the beast
mdp.39015009018329	Moorcock, Michael	The lord of the spiders
mdp.39015009018675	Anderson, Poul	World without stars
mdp.39015009049894	Spinrad, Norman	The last hurrah of the Golden Horde
mdp.39015009054787	Lessing, Doris	Briefing for a descent into Hell
mdp.39015009061188	Palmer, David R.	Damiano's lute
mdp.39015009063101	Bradbury, Ray	A medicine for melancholy
mdp.39015009101497	Niven, Larry	The flight of the horse
mdp.39015009111058	Sturgeon, Theodore	E pluribus unicorn
mdp.39015009131031	Bova, Ben	The exiles trilogy : three novels
